name,cuisines,latitude,longitude
"Sabitri Mistan Bhandar",Mithai,26.1837194,91.7855694
"Jacana - Hotel Lilawati Grand","North Indian",26.1848585,91.7447491
"Big Freeze",Beverages,26.1573271,91.7779706
"Ivory Bar","Finger Food",26.1765509,91.7551742
Vibrant,"Finger Food",26.1501641,91.7845250
"Ambees Bar & Restaurant","North Indian, Finger Food",26.1598620,91.7738010
"Kaffe Lounge",Cafe,26.1622200,91.7729900
"The View Restaurant & Lounge","Cafe, Continental",26.1653413,91.7794854
Ambrosia,Bakery,26.1963538,91.6873324
"Bachhuhs Bar","Finger Food",26.1769440,91.7372220
